"Project ID","2"
"Project","OneApp"
"Exported at","2026-01-30T17:42:57.282Z"

"Case","Description","Folder","Notes","Preconditions","Priority","Steps (Expected)","Steps (Step)","Case ID","Automation","Configurations","Created at","Created by","Estimate","Expected","Forecast","Issues","State","Status (latest)","Status date","Steps (Text)","Tags","Template","Updated at","Updated by"
"Fresh Install","","Installation","","<ul><li>Fresh installation or app cache cleared</li></ul>","Sanity","<p>App launches without issues</p>","<p>Click on the application icon</p>","535","No","Android, Prod,Prod, iOS","2023-08-01T23:08:19.429Z","Diego Del Aguila","300","","50.8","","Active","Passed","2026-01-16T13:51:17.349Z","","infiniti,nci,nissan,nmex,nna,release-regression,smoke","Case (steps)","2025-02-06T18:11:36.717Z","Diego Del Aguila"
"Overinstall","","Installation","<p>If the <code>Keep Me Signed In</code> feature was enabled the previous version,  the user should remain signed in after overinstall</p><ul><li>Android - overinstall needs to be done with the play store (the app is signed differently compared to our builds from github)</li><li>Please list the version you're updating from and to</li></ul>","<ul><li>The previous market version of the app is installed and logged into an account</li><li>Validate the <code>Keep Me Signed In</code> feature status</li></ul>","Sanity","<ul><li>App launches without any issues</li><li>User is driven to the Home Page after Logging in (if the <code>Keep Me Signed In</code> wasn't check-marked)</li><li>User is driven to the Home Page (if the <code>Keep Me Signed In</code> was check-marked)</li></ul>","<p>Update to the latest build</p>","536","No","Android, Prod,Prod, iOS","2023-08-01T23:08:19.443Z","Diego Del Aguila","106","","146.276","","Active","Passed","2026-01-21T17:30:06.895Z","","automation-candidate,infiniti,nci,nissan,nmex,nna,release-regression","Case (steps)","2025-08-21T13:35:52.122Z","Gemma Diaz Santa Cruz"
"Overinstall - wearable","","Installation","<p>If the <code>Keep Me Signed In</code> feature was enabled the previous version,  the user should remain signed in after overinstall</p><ul><li>Android - overinstall needs to be done with the play store (the app is signed differently compared to our builds from github)</li><li>Please list the version you're updating from and to</li></ul>","<ul><li>The previous market version of the app is installed and logged into an account</li><li>Validate the <code>Keep Me Signed In</code> feature status</li></ul>","Sanity","<ul><li>App launches without any issues</li><li>User is driven to the Home Page after Logging in</li></ul>","<p>Update to the latest build</p>","19074","No","Android, Prod,Prod, iOS","2024-06-05T17:44:22.398Z","Victor Wung","106","","159.833","","Active","Passed","2026-01-21T17:29:12.127Z","","infiniti,nci,nissan,nmex,nna,release-regression","Case (steps)","2025-02-06T18:11:14.243Z","Diego Del Aguila"
"Requires Update","","Installation","<ul><li>Update Required modal cannot be dismissed</li><li>Check occurs on launch and foreground</li></ul>","<ul><li>App is installed</li><li>Add a breakpoint or map local to the <code>Firebase Remote Config</code> call and modify the response of the parameter:</li></ul><pre><code class=""editor-plain language-plain code-block"">""UpdateVersion"": ""{\""storeUrl\"":\""$store_url"",\""updateVersion\"":\""15.4.10\""}"",</code></pre>","Sanity","<p>User should see 'App Update Required' modal</p>
<p>User should be driven to the respective Store Page</p>","<p>Click on the app icon</p>
<p>User click on the 'Update' CTA</p>","537","No","Android, Prod,Prod, iOS","2023-08-01T23:08:19.458Z","Diego Del Aguila","28","","92.914","","Active","Passed","2026-01-16T13:51:25.582Z","","automation-candidate,infiniti,nci,nissan,nmex,nna,release-regression","Case (steps)","2025-08-21T13:36:12.457Z","Gemma Diaz Santa Cruz"
"Feature Flags","","Installation","<ul><li>Check occurs on launch and foreground</li></ul>","<ul><li>App is installed</li><li>Add a breakpoint or map local to the <code>Firebase Remote Config</code> call and modify true or false any feature under a feature flag, e.g.</li></ul><ol><li><code>EnableWebviewLogin</code></li></ol>","Sanity","<p>Validate the Feature Flag actually enables or disables the feature</p>","<p>Open the app</p>","24230","No","Android, Prod,Prod, iOS","2024-10-05T14:39:23.741Z","Diego Del Aguila","28","","298.857","","Active","Passed","2026-01-16T13:51:32.702Z","","infiniti,nci,nissan,nmex,nna,release-regression,update-required","Case (steps)","2025-04-29T15:41:34.943Z","Michael Muluneh"
"What's New Modal","<p>When an existing user updates app, he should not see onboarding cards and a What's new Modal should show when he logs in.  The copy of the Modal should match the copy for this modal in Firebase Remote Console. </p>","Installation","","<p>In Firebase (on proxyman), you should see the field <code>WhatsNew</code> parameter with some value against it. Below is an example. </p><p> <code>""WhatsNew"": ""{\""version\"":\""6.4.27\"",\""messages\"":[\""This is the WNM For NNA Only!\"",\""And just for Android 6.4.27\"",\""We're good!\""]}""</code></p><figure class=""image""><img src=""/attachments/view/3194"" alt=""3194"" /></figure><figure class=""image""><img src=""/attachments/view/3193"" alt=""3193"" /></figure><p>In Firebase console, under Remote Config, ensure  that there are parameters/conditions for the version you are testing on. We are doing this to ensure that the app picks up new copy from Firebase dynamically. Example screenshots above. </p><figure class=""image""><img src=""/attachments/view/3195"" alt=""3195"" /></figure>","Medium","<p>Then Onboarding cards should show </p><p>Whats new Modal should show** only if onboarding cards DON'T show</p>
<p>You shouldn't see onboarding cards and the What's new Modal</p>
<p>You shouldn't see onboarding cards and the What's new Modal</p>
<p>You should NOT see onboarding cards</p><p>You should see the What's new Modal with the new copy</p>","<p>Install an older version of app. </p>
<p>If What's new Modal shows, then Tap on Don't show this again</p>
<p>Exit out of app</p>
<p>Go back to app</p>
<p>You can also log out and log back in</p>
<p>Now update the app version to the version that's configured in Firebase Console (with the new copy)</p>","30176","No","Android, Prod,Android, Stage,Prod, iOS,Stage, iOS","2025-02-06T17:55:47.012Z","Salima Vastani","","","","","Draft","Passed","2026-01-21T17:53:19.748Z","","infiniti,nci,nissan,nna,release-regression","Case (steps)","2025-04-29T20:23:26.305Z","Salima Vastani"
"Demo Mode - Splash Page","","Demo Mode","","<ul><li>Fresh installation or app cache cleared</li></ul>","Medium","<p>User should be taken to the Splash screen with the following elements:</p><ul><li><code>SIGN IN</code> button</li><li><code>REGISTER</code> button</li><li><strong>DEMO MODE</strong> option</li><li><strong>PRIVACY &amp; TERMS</strong> option</li></ul>
<p>The user is taken to the Home screen from demo mode.</p>","<p>Open the app</p>
<p>Tap on <strong>DEMO MODE</strong> option</p>","62163","No","Android, Prod,Prod, iOS","2025-12-16T18:36:39.652Z","Gemma Diaz Santa Cruz","120","","30.6","","Active","Passed","2026-01-16T13:54:02.043Z","","","Case (steps)","2025-12-16T18:42:59.391Z","Gemma Diaz Santa Cruz"
"Demo Mode - Landing Page","","Home","","<ul><li>Fresh installation or app cache cleared</li><li>User is already on the <code>Landing</code> Page</li></ul>","Medium","<p>User should be taken to the demo mode home screen</p>","<p>Tap on Demo Mode button</p>","540","Yes","Android, Prod,Prod, iOS","2023-08-01T23:08:19.497Z","Diego Del Aguila","120","","40.667","","Active","Failed","2026-01-28T00:37:16.265Z","","androidautomated-nna,automation-candidate,regression,smoke","Case (steps)","2026-01-07T15:53:19.104Z","Arjun"
"Demo Mode - Home Page","<p>Demo Mode Home Page validation + Vehicle Selection, shared for both Infiniti and Nissan, please skip the vehicles that are not part of the brand you're testing</p>","Home","<p>Automatio: for step 1, only elements in header will be validated (support icon, notifications icon &amp; vehicle selector) as elements in hero can't be retrieved because it's a dynamic image</p>","<p>User is already in Demo Mode <code>Home Page</code></p>","Sanity","<p>The user should see data for:</p><ol><li>Est. Range (EV) / Fuel Remaining (ICE)</li><li>Weather icon/info</li><li>Lock Status</li><li>Vehicle Image</li><li>Support Icon</li><li>Notifications Icon</li><li>Vehicle Selector</li></ol>
<p>The user should see a full-page modal with the title <code>Select Vehicle</code> and two vehicles:</p><figure class=""table""><table><tbody><tr><td><p style=""text-align:center;"">Nissan</p></td><td><p style=""text-align:center;"">Infiniti</p></td></tr><tr><td><ol><li>Rogue</li><li>LEAF</li><li>Rogue AVK2</li></ol></td><td><ol><li>QX60</li><li>QX55</li><li>QX80</li></ol></td></tr></tbody></table></figure>
<p>The user should be navigated to the <code>Home Page</code> showing all the data for the LEAF, including the Telematics Controls and Cards for an Electric Vehicle</p>
<p>The user should be navigated to the <code>Home Page</code> showing all the data for the Rogue, including the Telematics Controls and Cards for an AVK Vehicle</p>
<p>The user should be navigated to the <code>Home Page</code> showing all the data for the Rogue, including the Telematics Controls and Cards for an AVK2 Vehicle</p>
<p>The user should be navigated to the <code>Home Page</code> showing all the data for the QX60, including the Telematics Controls and Cards for an AVK Vehicle</p>
<p>The user should be navigated to the <code>Home Page</code> showing all the data for the QX55, including the Telematics Controls and Cards for an AVK Vehicle</p>
<p>The user should be navigated to the <code>Home Page</code> showing all the data for the QX80, including the Telematics Controls and Cards for an AVK2 Vehicle</p>","<p>Validate the <code>Hero Section</code></p>
<p>Tap on the <code>Vehicle Selector</code> dropdown</p>
<p>NISSAN - Select the <code>LEAF</code></p>
<p>NISSAN - Tap on the <code>Vehicle Selector</code> dropdown and select the <code>Rogue</code></p>
<p>NISSAN - Tap on the <code>Vehicle Selector</code> dropdown and select the <code>Rogue AVK2</code></p>
<p>INFINITI - Tap on the <code>Vehicle Selector</code> dropdown and select the QX60</p>
<p>INFINITI - Tap on the <code>Vehicle Selector</code> dropdown and select the QX55</p>
<p>INFINITI - Tap on the <code>Vehicle Selector</code> dropdown and select the QX80</p>","541","Yes","Android, Prod,Prod, iOS","2023-08-01T23:08:19.512Z","Diego Del Aguila","","","174.333","","Active","Failed","2026-01-28T00:37:16.265Z","","androidautomated-nna,automation-candidate,ccs2,ev,general-sweep,ice,regression,smoke","Case (steps)","2025-12-18T15:53:20.417Z","Gemma Diaz Santa Cruz"
"Demo Mode - Pull to Refresh","","Home","","","Low","<p>User should see the refresh spinner run for 5 seconds</p><p>The Fuel Remaining/Est. Range is replaced by <code>...</code> and returns to the previous value</p>","<p>Pull to refresh on the home screen</p>","1442","No","Android, Prod,Prod, iOS","2023-08-28T20:13:22.128Z","Diego Del Aguila","","","63.667","","Active","Passed","2025-01-10T17:56:12.850Z","","automation-candidate,regression","Case (steps)","2025-12-18T16:17:05.967Z","Mariia Tupchii"
"Demo Mode - Add Vehicle","","Home","","","Low","<p>1. User should see the vehicle selector screen<br />2. User should see a dismissable alert informing them the feature is not available in demo mode</p>","<p>1. Tap on Vehicle Selector<br />2. Tap the Add Vehicle button</p>","1443","Yes","Android, Prod,Prod, iOS","2023-08-28T20:13:22.143Z","Diego Del Aguila","","","33.167","","Active","Failed","2026-01-28T00:37:16.265Z","","androidautomated-nna,automation-candidate,iosautomated-nna,regression","Case (steps)","2026-01-07T16:30:50.348Z","Arjun"
